epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5108,1.33492,2.27804,1.43048,1,0.42781,0.96562,0.55332,1.37226,2.44523,1.15046,0.00028,0.00028,0.00028
2,23.3146,1.28587,1.46939,1.34995,1,0.61197,0.98393,0.58542,1.25279,2.3534,1.19606,0.000568516,0.000568516,0.000568516
3,35.8107,1.25837,1.36662,1.32436,0.96002,0.93333,0.98416,0.5831,1.31499,1.88186,1.30092,0.000845152,0.000845152,0.000845152
4,48.241,1.32121,1.4062,1.35428,0.92778,0.85652,0.93586,0.54174,1.33996,1.95783,1.27551,0.00110991,0.00110991,0.00110991
5,61.2876,1.40117,1.40085,1.40844,0.72047,0.75,0.78832,0.51789,1.1728,1.87961,1.21106,0.00136278,0.00136278,0.00136278
6,73.6676,1.31185,1.36033,1.40208,0.74276,0.86667,0.85201,0.51098,1.37648,1.76148,1.34638,0.00160378,0.00160378,0.00160378
7,85.8807,1.30643,1.37502,1.42973,0.77359,0.86667,0.86575,0.46507,1.73631,1.58892,1.59404,0.0017624,0.0017624,0.0017624
8,98.3431,1.26722,1.2633,1.37396,0.79166,0.95,0.90107,0.5069,1.5002,1.42449,1.51919,0.0017228,0.0017228,0.0017228
9,111.311,1.32725,1.15927,1.39684,0.58543,0.73333,0.61521,0.28148,1.68874,1.93359,1.64547,0.0016832,0.0016832,0.0016832
10,124.242,1.23374,1.11848,1.31979,0.96882,0.83333,0.94885,0.64844,1.07303,1.34294,1.20851,0.0016436,0.0016436,0.0016436
11,136.575,1.23196,1.08799,1.36087,0.93173,0.90985,0.9672,0.54613,1.62207,1.29473,1.4849,0.001604,0.001604,0.001604
12,147.731,1.18881,1.0922,1.31513,0.94699,0.8932,0.9649,0.61067,1.41488,1.1129,1.32286,0.0015644,0.0015644,0.0015644
13,159.209,1.20095,1.04102,1.31122,0.95125,0.97567,0.99103,0.64397,1.14496,0.97492,1.17601,0.0015248,0.0015248,0.0015248
14,170.762,1.18357,1.01505,1.31447,0.92122,0.97447,0.97546,0.65392,1.13327,1.0624,1.23062,0.0014852,0.0014852,0.0014852
15,182.371,1.14802,0.99219,1.30642,0.79959,1,0.94475,0.58001,1.39171,1.03838,1.29242,0.0014456,0.0014456,0.0014456
16,193.93,1.12888,0.96037,1.24892,0.90819,0.95,0.97966,0.62851,1.26018,0.8121,1.19213,0.001406,0.001406,0.001406
17,205.417,1.09599,0.92241,1.22808,0.9297,0.96667,0.98428,0.70051,0.95238,0.78964,1.07312,0.0013664,0.0013664,0.0013664
18,216.997,1.05564,0.84339,1.21098,0.94772,0.95,0.98185,0.72203,1.01303,0.76821,1.05989,0.0013268,0.0013268,0.0013268
19,229.111,1.11956,0.88524,1.29032,0.99256,0.98333,0.99409,0.69702,1.01408,0.70155,1.05243,0.0012872,0.0012872,0.0012872
20,240.743,1.08481,0.82272,1.22943,0.97976,0.96667,0.99357,0.74477,0.84272,0.654,1.0125,0.0012476,0.0012476,0.0012476
21,253.025,1.11436,0.84556,1.26737,0.95088,1,0.99235,0.71538,1.06168,0.65779,1.0796,0.001208,0.001208,0.001208
22,264.417,1.07653,0.83269,1.23804,0.96769,0.99838,0.99318,0.72241,0.97717,0.66299,1.07064,0.0011684,0.0011684,0.0011684
23,276.114,1.13686,0.81649,1.24266,0.9581,1,0.98437,0.76881,0.75419,0.62742,0.93741,0.0011288,0.0011288,0.0011288
24,286.841,0.99596,0.7517,1.17598,0.94996,0.95,0.98388,0.73066,0.94325,0.68843,1.05628,0.0010892,0.0010892,0.0010892
25,298.719,1.04848,0.82318,1.22663,0.94045,0.98333,0.98517,0.76129,0.84457,0.61951,1.04192,0.0010496,0.0010496,0.0010496
26,310.894,1.03783,0.79648,1.22979,0.96768,1,0.99352,0.70621,1.095,0.63523,1.09014,0.00101,0.00101,0.00101
27,322.558,0.96607,0.72617,1.16652,0.92809,0.96667,0.98961,0.78028,0.79025,0.62909,0.98353,0.0009704,0.0009704,0.0009704
28,335.873,1.03817,0.76613,1.21355,0.99396,0.96667,0.99434,0.74096,0.95206,0.61945,1.00421,0.0009308,0.0009308,0.0009308
29,349.12,1.02919,0.7055,1.18411,0.99077,0.96667,0.99344,0.78205,0.70708,0.57448,0.95195,0.0008912,0.0008912,0.0008912
30,361.529,1.01477,0.72828,1.19977,0.96255,1,0.99218,0.77081,0.81544,0.56715,0.94951,0.0008516,0.0008516,0.0008516
31,378.777,0.92964,0.66929,1.12617,0.99582,1,0.995,0.77232,0.7399,0.51842,0.94392,0.000812,0.000812,0.000812
32,397.195,0.96094,0.67806,1.17642,0.97882,0.98333,0.99434,0.77001,0.81286,0.51662,0.96608,0.0007724,0.0007724,0.0007724
33,411.946,0.986,0.69768,1.16941,0.99618,0.98333,0.99484,0.78369,0.84891,0.50182,0.98587,0.0007328,0.0007328,0.0007328
34,420.918,0.91205,0.63664,1.14342,0.9807,1,0.99418,0.76699,0.87097,0.49975,1.0111,0.0006932,0.0006932,0.0006932
